region,area,suburb,subsuburb,type,land_size,dwell_size,condition,property_age,beds,baths,receptions,studies,garages,pbays,pool,staff,buyer_source,buyer_origin_country,buyer_origin_region,finance_type,list_price,sales_price,value_of_thing
Western Cape,Southern Suburbs,Athlone,none,APRT,50.0,50.0,Fair,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0,0,Website,South Africa,Western Cape,Bond,499000.0,480000.0,120
Western Cape,Southern Suburbs,Athlone,none,APRT,60.0,60.0,Fair,5.0,2.0,1.0,2.0,0.0,0.0,1.0,0,0,Referral,South Africa,Western Cape,Cash,440000.0,365000.0,44
Western Cape,Southern Suburbs,Athlone,none,APRT,92.0,92.0,Good,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0,0,Press - Advertisement,South Africa,Western Cape,Bond,500000.0,460000.0,120
Western Cape,Southern Suburbs,Athlone,none,DS HSE,505.0,72.0,Good,56.0,3.0,3.0,1.0,0.0,2.0,0.0,0,0,Telephone,South Africa,Western Cape,Cash,950000.0,920000.0,4
Western Cape,Southern Suburbs,Athlone,none,SS HSE,217.0,74.0,Good,38.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,Website,South Africa,Western Cape,Bond,650000.0,620000.0,7
Western Cape,Southern Suburbs,Athlone,none,SS HSE,220.0,130.0,Good,20.0,4.0,2.0,2.0,0.0,1.0,0.0,0,0,Website,South Africa,Western Cape,Bond,695000.0,650000.0,21
Western Cape,Southern Suburbs,Athlone,none,SS HSE,231.0,96.0,Fair,35.0,3.0,2.0,1.0,0.0,1.0,0.0,0,0,Press - Advertisement,South Africa,Western Cape,Bond,775000.0,720000.0,105
Western Cape,Southern Suburbs,Athlone,none,SS HSE,237.0,196.0,Fair,39.0,4.0,2.0,2.0,0.0,1.0,0.0,0,0,Press - Advertisement,South Africa,Western Cape,Bond,800000.0,750000.0,24
Western Cape,Southern Suburbs,Athlone,none,SS HSE,238.0,100.0,Good,50.0,2.0,1.0,1.0,0.0,0.0,2.0,0,0,Website,South Africa,Western Cape,Bond,685000.0,650000.0,21
Western Cape,Southern Suburbs,Athlone,none,SS HSE,290.0,100.0,Fair,15.0,3.0,1.0,1.0,0.0,0.0,2.0,0,0,Client - Existing,South Africa,Western Cape,Bond,580000.0,545000.0,60
Western Cape,Southern Suburbs,Athlone,none,SS HSE,357.0,103.0,Good,64.0,3.0,1.0,2.0,0.0,1.0,0.0,0,0,Website,South Africa,Western Cape,Bond,750000.0,720000.0,15
Western Cape,Southern Suburbs,Athlone,none,SS HSE,390.0,130.0,Good,50.0,3.0,1.0,1.0,0.0,0.0,4.0,0,1,Client - Existing,South Africa,Western Cape,Bond,650000.0,650000.0,3
Western Cape,Southern Suburbs,Athlone,none,SS HSE,456.0,127.0,Good,40.0,4.0,3.0,2.0,0.0,0.0,4.0,0,0,Press - Advertisement,South Africa,Western Cape,Bond,950000.0,850000.0,25
Western Cape,Southern Suburbs,Athlone,none,SS HSE,495.0,132.0,Good,50.0,3.0,1.0,2.0,0.0,0.0,0.0,1,0,Press - Advertisement,South Africa,Western Cape,Cash,950000.0,875000.0,72
Western Cape,Southern Suburbs,Athlone,none,SS HSE,496.0,0.0,Fair,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,Website,South Africa,Western Cape,Bond,695000.0,650000.0,27
Western Cape,Southern Suburbs,Athlone,none,SS HSE,496.0,189.0,Fair,55.0,5.0,2.0,1.0,1.0,1.0,1.0,0,1,Website,South Africa,Western Cape,Cash,1100000.0,1100000.0,5
Western Cape,Southern Suburbs,Athlone,none,SS HSE,523.0,180.0,Good,40.0,4.0,2.0,2.0,0.0,3.0,2.0,0,0,Showhouse,South Africa,Western Cape,Bond,990000.0,930000.0,90
Western Cape,Southern Suburbs,Athlone,none,SS HSE,541.0,136.0,Fair,53.0,3.0,1.0,1.0,0.0,1.0,5.0,0,0,Client - Existing,South Africa,Western Cape,Bond,995000.0,950000.0,4
Western Cape,Southern Suburbs,Athlone,none,SS HSE,595.0,100.0,Fair,20.0,4.0,2.0,2.0,0.0,1.0,0.0,0,0,Website,South Africa,Western Cape,Bond,850000.0,770000.0,90
Western Cape,Southern Suburbs,Athlone,none,SS HSE,595.0,109.0,Good,19.0,3.0,1.0,2.0,0.0,0.0,0.0,0,0,Boards,South Africa,Western Cape,Bond,785000.0,750000.0,15
Western Cape,Southern Suburbs,Athlone,none,SS HSE,622.0,200.0,Good,10.0,4.0,2.0,3.0,0.0,2.0,0.0,1,0,Website,South Africa,Western Cape,Bond,1750000.0,1250000.0,240
Western Cape,Southern Suburbs,Athlone,none,SS HSE,810.0,180.0,Good,66.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,Telephone,South Africa,Western Cape,Cash,800000.0,770000.0,134
Western Cape,Southern Suburbs,Athlone,none,SS HSE,891.0,220.0,Good,50.0,4.0,3.0,2.0,0.0,2.0,2.0,0,0,Boards,South Africa,Western Cape,Bond,995000.0,950000.0,7
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,1129.0,260.0,Excellent,47.0,4.0,2.0,4.0,1.0,2.0,0.0,1,1,Showhouse,South Africa,Western Cape,Bond,4600000.0,3875000.0,35
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,2715.0,431.0,Excellent,40.0,5.0,4.0,6.0,1.0,3.0,3.0,1,1,Showhouse,South Africa,Western Cape,Cash,19500000.0,17250000.0,395
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,3357.0,500.0,Good,14.0,4.0,2.0,3.0,1.0,2.0,4.0,1,1,Boards,South Africa,Western Cape,Bond,12900000.0,9350000.0,184
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,3566.0,500.0,Excellent,70.0,5.0,3.0,5.0,1.0,2.0,3.0,0,1,Showhouse,South Africa,Western Cape,Bond,10900000.0,6500000.0,332
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,3657.0,600.0,Poor,50.0,4.0,2.0,3.0,1.0,2.0,2.0,1,1,Client - Existing,South Africa,Western Cape,Bond,16000000.0,9550000.0,120
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,4047.0,760.0,Excellent,4.0,4.0,4.0,4.0,1.0,5.0,5.0,1,1,Referral,Australia,,Cash,25000000.0,20000000.0,540
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,4097.0,450.0,Good,60.0,5.0,3.0,4.0,1.0,2.0,10.0,1,1,Referral,South Africa,Western Cape,Cash,22000000.0,19500000.0,15
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,4290.0,520.0,Poor,80.0,3.0,2.0,2.0,1.0,3.0,1.0,0,1,Referral,South Africa,Western Cape,Bond,10500000.0,9400000.0,3
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,5422.0,1460.0,Excellent,3.0,6.0,7.0,4.0,1.0,7.0,4.0,1,1,Boards,Switzerland,,Cash,39000000.0,37000000.0,37
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,664.0,242.0,Good,65.0,3.0,3.0,4.0,0.0,2.0,0.0,1,0,Telephone,South Africa,Western Cape,Bond,5550000.0,5550000.0,1
Western Cape,Southern Suburbs,Bishopscourt,none,DS HSE,8425.0,880.0,Excellent,9.0,8.0,10.0,5.0,1.0,3.0,2.0,1,1,Boards,South Africa,Western Cape,Cash,39000000.0,35000000.0,474
Western Cape,Southern Suburbs,Bishopscourt,none,SS HSE,10431.0,600.0,Fair,87.0,4.0,3.0,3.0,1.0,3.0,0.0,0,1,Press - Advertisement,South Africa,Western Cape,Bond,19000000.0,15000000.0,150
Western Cape,Southern Suburbs,Bishopscourt,none,SS HSE,1453.0,450.0,Good,40.0,3.0,4.0,3.0,1.0,2.0,1.0,1,0,Website,South Africa,Western Cape,Cash,5300000.0,3900000.0,90
